"actor_name","title","length","filmlen_groups"
"Penelope Guiness","Academy Dinosaur",86,"Group 2"
"Penelope Guiness","Anaconda Confessions",92,"Group 2"
"Penelope Guiness","Angels Life",74,"Group 2"
"Penelope Guiness","Bulworth Commandments",61,"Group 2"
"Penelope Guiness","Cheaper Clyde",87,"Group 2"
"Penelope Guiness","Color Philadelphia",149,"Group 3"
"Penelope Guiness","Elephant Trojan",126,"Group 3"
"Penelope Guiness","Gleaming Jawbreaker",89,"Group 2"
"Penelope Guiness","Human Graffiti",68,"Group 2"
"Penelope Guiness","King Evolution",184,"Group 4"
"Penelope Guiness","Lady Stage",67,"Group 2"
"Penelope Guiness","Language Cowboy",78,"Group 2"
"Penelope Guiness","Mulholland Beast",157,"Group 3"
"Penelope Guiness","Oklahoma Jumanji",58,"Group 1"
"Penelope Guiness","Rules Human",153,"Group 3"
"Penelope Guiness","Splash Gump",175,"Group 3"
"Penelope Guiness","Vertigo Northwest",90,"Group 2"
"Penelope Guiness","Westward Seabiscuit",52,"Group 1"
"Penelope Guiness","Wizard Coldblooded",75,"Group 2"
"Nick Wahlberg","Adaptation Holes",50,"Group 1"
"Nick Wahlberg","Apache Divine",92,"Group 2"
"Nick Wahlberg","Baby Hall",153,"Group 3"
"Nick Wahlberg","Bull Shawshank",125,"Group 3"
"Nick Wahlberg","Chainsaw Uptown",114,"Group 2"
"Nick Wahlberg","Chisum Behavior",124,"Group 3"
"Nick Wahlberg","Destiny Saturday",56,"Group 1"
"Nick Wahlberg","Dracula Crystal",176,"Group 3"
"Nick Wahlberg","Fight Jawbreaker",91,"Group 2"
"Nick Wahlberg","Flash Wars",123,"Group 3"
"Nick Wahlberg","Gilbert Pelican",114,"Group 2"
"Nick Wahlberg","Goodfellas Salute",56,"Group 1"
"Nick Wahlberg","Happiness United",100,"Group 2"
"Nick Wahlberg","Indian Love",135,"Group 3"
"Nick Wahlberg","Jekyll Frogmen",58,"Group 1"
"Nick Wahlberg","Jersey Sassy",60,NULL
"Nick Wahlberg","Liaisons Sweet",140,"Group 3"
"Nick Wahlberg","Lucky Flying",97,"Group 2"
"Nick Wahlberg","Maguire Apache",74,"Group 2"
"Nick Wahlberg","Mallrats United",133,"Group 3"
"Nick Wahlberg","Mask Peach",123,"Group 3"
"Nick Wahlberg","Roof Champion",101,"Group 2"
"Nick Wahlberg","Rushmore Mermaid",150,"Group 3"
"Nick Wahlberg","Smile Earring",60,NULL
"Nick Wahlberg","Wardrobe Phantom",178,"Group 3"
"Ed Chase","Alone Trip",82,"Group 2"
"Ed Chase","Army Flintstones",148,"Group 3"
"Ed Chase","Artist Coldblooded",170,"Group 3"
"Ed Chase","Boondock Ballroom",76,"Group 2"
"Ed Chase","Caddyshack Jedi",52,"Group 1"
"Ed Chase","Cowboy Doom",146,"Group 3"
"Ed Chase","Eve Resurrection",66,"Group 2"
"Ed Chase","Forrest Sons",63,"Group 2"
"Ed Chase","French Holiday",99,"Group 2"
"Ed Chase","Frost Head",82,"Group 2"
"Ed Chase","Halloween Nuts",47,"Group 1"
"Ed Chase","Hunter Alter",125,"Group 3"
"Ed Chase","Image Princess",178,"Group 3"
"Ed Chase","Jeepers Wedding",84,"Group 2"
"Ed Chase","Luck Opus",152,"Group 3"
"Ed Chase","Necklace Outbreak",132,"Group 3"
"Ed Chase","Platoon Instinct",132,"Group 3"
"Ed Chase","Spice Sorority",141,"Group 3"
"Ed Chase","Wedding Apollo",70,"Group 2"
"Ed Chase","Weekend Personal",134,"Group 3"
"Ed Chase","Whale Bikini",109,"Group 2"
"Ed Chase","Young Language",183,"Group 4"
"Jennifer Davis","Anaconda Confessions",92,"Group 2"
"Jennifer Davis","Angels Life",74,"Group 2"
"Jennifer Davis","Barefoot Manchurian",129,"Group 3"
"Jennifer Davis","Bed Highball",106,"Group 2"
"Jennifer Davis","Blade Polish",114,"Group 2"
"Jennifer Davis","Boondock Ballroom",76,"Group 2"
"Jennifer Davis","Ghostbusters Elf",101,"Group 2"
"Jennifer Davis","Greedy Roots",166,"Group 3"
"Jennifer Davis","Hanover Galaxy",47,"Group 1"
"Jennifer Davis","Instinct Airport",116,"Group 2"
"Jennifer Davis","Jumanji Blade",121,"Group 3"
"Jennifer Davis","National Story",92,"Group 2"
"Jennifer Davis","Oklahoma Jumanji",58,"Group 1"
"Jennifer Davis","Poseidon Forever",159,"Group 3"
"Jennifer Davis","Raiders Antitrust",82,"Group 2"
"Jennifer Davis","Random Go",73,"Group 2"
"Jennifer Davis","Reds Pocus",182,"Group 4"
"Jennifer Davis","Silverado Goldfinger",74,"Group 2"
"Jennifer Davis","Splash Gump",175,"Group 3"
"Jennifer Davis","Submarine Bed",127,"Group 3"
"Jennifer Davis","Treasure Command",102,"Group 2"
"Jennifer Davis","Unforgiven Zoolander",129,"Group 3"
"Johnny Lollobrigida","Amadeus Holy",113,"Group 2"
"Johnny Lollobrigida","Banger Pinocchio",113,"Group 2"
"Johnny Lollobrigida","Bonnie Holocaust",63,"Group 2"
"Johnny Lollobrigida","Chitty Lock",107,"Group 2"
"Johnny Lollobrigida","Commandments Express",59,"Group 1"
"Johnny Lollobrigida","Coneheads Smoochy",112,"Group 2"
"Johnny Lollobrigida","Daddy Pittsburgh",161,"Group 3"
"Johnny Lollobrigida","Daisy Menagerie",84,"Group 2"
"Johnny Lollobrigida","Enough Raging",158,"Group 3"
"Johnny Lollobrigida","Escape Metropolis",167,"Group 3"
"Johnny Lollobrigida","Fire Wolves",173,"Group 3"
"Johnny Lollobrigida","Frontier Cabin",183,"Group 4"
"Johnny Lollobrigida","Goodfellas Salute",56,"Group 1"
"Johnny Lollobrigida","Grail Frankenstein",85,"Group 2"
"Johnny Lollobrigida","Groove Fiction",111,"Group 2"
"Johnny Lollobrigida","Hall Cassidy",51,"Group 1"
"Johnny Lollobrigida","Heavenly Gun",49,"Group 1"
"Johnny Lollobrigida","Kramer Chocolate",171,"Group 3"
"Johnny Lollobrigida","Love Suicides",181,"Group 4"
"Johnny Lollobrigida","Metal Armageddon",161,"Group 3"
"Johnny Lollobrigida","Pacific Amistad",144,"Group 3"
"Johnny Lollobrigida","Patton Interview",175,"Group 3"
"Johnny Lollobrigida","Pocus Pulp",138,"Group 3"
"Johnny Lollobrigida","Ridgemont Submarine",46,"Group 1"
"Johnny Lollobrigida","Rings Heartbreakers",58,"Group 1"
