"customer_id","film_id","rental_duration","rental_rate","length","replacement_cost","rating","genre","rental_day","rental_month","payment_day","payment_month","payment_amount","store_id","city_id","staff_id"
1,611,7,"4.99",73,"17.99","PG","Classics","15","6","14","2","5.99",1,463,2
1,228,4,"0.99",143,"16.99","PG-13","Classics","15","6","15","2","0.99",2,463,2
1,308,3,"2.99",142,"13.99","PG","Comedy","15","6","15","2","9.99",1,463,1
1,159,5,"4.99",58,"12.99","R","Comedy","16","6","16","2","4.99",1,463,1
1,44,5,"4.99",113,"21.99","PG-13","Sci-Fi","18","6","18","2","4.99",1,463,2
1,766,5,"0.99",84,"25.99","PG-13","Drama","18","6","18","2","0.99",1,463,1
1,997,4,"0.99",179,"14.99","NC-17","Music","21","6","21","2","3.99",1,463,1
1,316,5,"4.99",173,"18.99","R","Games","8","7","8","4","5.99",2,463,2
1,764,3,"4.99",150,"28.99","G","Sports","8","7","8","4","5.99",1,463,2
1,814,6,"4.99",110,"15.99","PG","Comedy","9","7","9","4","4.99",2,463,2
1,174,6,"4.99",180,"13.99","NC-17","Music","9","7","9","4","4.99",1,463,1
1,294,5,"4.99",138,"26.99","PG-13","Travel","11","7","11","4","7.99",1,463,2
1,539,7,"2.99",152,"21.99","NC-17","Drama","27","7","27","4","2.99",1,463,1
1,243,3,"4.99",49,"22.99","NC-17","Animation","28","7","28","4","4.99",2,463,2
1,929,5,"4.99",128,"21.99","PG-13","Foreign","28","7","28","4","4.99",1,463,1
1,341,5,"0.99",82,"13.99","PG","Classics","28","7","28","4","0.99",2,463,1
1,982,4,"0.99",126,"23.99","R","Action","28","7","28","4","0.99",1,463,1
1,22,6,"2.99",85,"10.99","G","New","29","7","29","4","2.99",1,463,2
1,480,3,"2.99",84,"29.99","R","Classics","31","7","30","4","2.99",1,463,2
1,3,7,"2.99",50,"18.99","NC-17","Documentary","1","8","1","3","4.99",2,463,1
1,709,7,"2.99",147,"19.99","NC-17","Drama","2","8","2","3","3.99",2,463,2
1,315,4,"0.99",156,"10.99","R","Family","2","8","2","3","0.99",2,463,1
1,579,3,"4.99",149,"22.99","PG-13","Action","17","8","17","3","4.99",1,463,2
1,204,4,"0.99",106,"25.99","PG","Drama","18","8","18","3","0.99",2,463,1
1,663,7,"0.99",99,"29.99","NC-17","Classics","19","8","19","3","0.99",1,463,2
1,490,4,"2.99",121,"13.99","G","New","19","8","19","3","2.99",1,463,2
1,924,7,"0.99",129,"15.99","PG","Sci-Fi","21","8","21","3","0.99",1,463,1
1,317,4,"0.99",148,"25.99","PG","Comedy","22","8","21","3","1.99",2,463,2
1,317,4,"0.99",148,"25.99","PG","Comedy","22","8","22","3","2.99",1,463,1
1,70,7,"4.99",142,"26.99","NC-17","Animation","22","8","22","3","5.99",1,463,2
2,78,7,"2.99",85,"12.99","PG","Animation","17","6","17","2","2.99",1,449,2
2,895,3,"2.99",142,"21.99","R","Classics","10","7","10","4","2.99",1,449,1
2,606,3,"0.99",160,"15.99","NC-17","Sports","10","7","10","4","6.99",1,449,1
2,162,4,"2.99",95,"13.99","R","Action","27","7","27","4","4.99",2,449,1
2,109,3,"0.99",89,"17.99","G","New","27","7","27","4","5.99",1,449,2
2,446,5,"4.99",150,"19.99","PG","Sports","27","7","27","4","5.99",1,449,2
2,421,7,"4.99",78,"10.99","PG-13","Foreign","29","7","28","4","5.99",2,449,2
2,136,7,"2.99",146,"26.99","NC-17","New","29","7","29","4","2.99",1,449,2
